,Reviews,Sentiment
0,  I m really disappointed with the bass on these Sony headphones  They just don t pack the punch that I was hoping for   ,6
1,     I expected more from Sony when it comes to bass  but these headphones just can t deliver   ,6
2,     The sound quality on these Sony headphones is decent  but the bass is seriously lacking   ,6
3,     I wouldn t recommend these Sony headphones if you re looking for something with a strong bass   ,6
4,     The bass on these Sony headphones is so weak  it s like it s not even there   ,6
5,     These Sony headphones are a real letdown when it comes to bass  Don t waste your money   ,6
6,     I was hoping for better bass from these Sony headphones  but unfortunately they don t deliver   ,6
7,     Sony usually makes great headphones  but these ones just don t cut it when it comes to bass   ,6
8,     If you re looking for good bass  look elsewhere than these Sony headphones   ,6
9,     The bass on these Sony headphones is just plain bad  Save your money   ,6
10,     I can t believe how weak the bass is on these Sony headphones  Definitely not worth the money   ,6
11,     Don t bother with these Sony headphones if you re looking for good bass  They just don t have it   ,6
12,     These Sony headphones are a real disappointment when it comes to bass  Don t waste your money like I did   ,6
13,     The bass on these Sony headphones is so weak that even my laptop headphones sound better   ,6
14,     If you want headphones with good bass  steer clear of these Sony ones   ,6
15,     I really regret buying these Sony headphones  The bass is just terrible   ,6
16,     These Sony headphones are a big letdown if you re looking for good bass  Don t waste your time or money   ,6
17,     The bass on these Sony headphones is so weak  it s like they re not even there  Don t bother   ,6
18,     I wouldn t recommend these Sony headphones if you re looking for anything more than mediocre sound quality   ,6
19,     I m really disappointed in these Sony headphones  The bass is just not up to par   ,6
20,     The lack of bass on these Sony headphones is a major letdown  Don t waste your money   ,6
21,     If you want headphones with good bass  definitely don t go for these Sony ones   ,6
22,     These Sony headphones are not worth the price tag  The bass is just too weak   ,6
23,     I expected more from Sony when it comes to bass  These headphones just don t cut it   ,6
24,     The bass on these Sony headphones is so weak that I can barely tell it s there   ,6
25,     I m really disappointed in the bass on these Sony headphones  Definitely not worth the money   ,6
26,     The bass on these Sony headphones is seriously lacking  Save your money and get something else   ,6
27,     Don t bother with these Sony headphones if you re looking for good bass  You won t find it here   ,6
28,     I really wish I had gone with a different brand for headphones  These Sony ones just don t have good bass   ,6
29,     The bass on these Sony headphones is so weak  it s like they re not even trying   ,6
30,     If you re looking for headphones with good bass  keep looking  These Sony ones just don t have it   ,6
31,     I m really unimpressed with the bass on these Sony headphones  Definitely not worth the price   ,6
32,     These Sony headphones are not worth the money if you re looking for good bass  It s just not there   ,6
33,     The bass on these Sony headphones is seriously lacking  Don t waste your money   ,6
34,     If you re looking for headphones with good bass  don t bother with these Sony ones   ,6
35,     I m really disappointed in these Sony headphones  The bass just doesn t cut it   ,6
36,     The bass on these Sony headphones is really weak  Definitely not worth the price tag   ,6
37,     The Sony headphones sounded really tinny and lacked any depth to the bass  Not worth the price   ,6
38,     The bass on these Sony headphones is just terrible  I would not recommend them to anyone   ,6
39,     I was very disappointed with the bass on these Sony headphones  It was so weak and flat   ,6
40,     The Sony headphones had a really poor bass response  and the overall sound quality was lacking   ,6
41,     I was expecting better from Sony  but these headphones had really bad bass and sounded muffled   ,6
42,     The bass on these Sony headphones was so weak that I could hardly even hear it  Not worth the money   ,6
43,     The sound quality of these Sony headphones was really poor  and the bass was practically non existent   ,6
44,     These Sony headphones were a huge letdown  The bass was terrible and the sound quality was not up to par   ,6
45,     I was hoping for better from Sony  but these headphones had very little bass and sounded hollow   ,6
46,     The bass on these Sony headphones was so weak that I could barely even tell it was there   ,6
47,     The Sony headphones had really bad bass  and the sound quality was not much better   ,6
48,     These Sony headphones had a really weak bass response and the sound quality was not impressive at all   ,6
49,     I would not recommend these Sony headphones  The bass was very weak and the sound quality was lacking   ,6
50,     The Sony headphones had a really flat sound  and the bass was practically non existent   ,6
51,     These headphones from Sony were a huge disappointment  The bass was really weak and the sound quality was not great   ,6
52,     The bass on these Sony headphones was very weak and the sound quality was not impressive   ,6
53,     I was expecting better from Sony  but these headphones had very little bass and the sound quality was mediocre   ,6
54,     The Sony headphones had really poor bass and the sound quality was not much better   ,6
55,     These Sony headphones had a really weak bass response  and the sound quality was not very impressive   ,6
56,     The bass on these Sony headphones was very weak and the sound quality was not worth the price   ,6
57,     I was disappointed with the sound quality of these Sony headphones  The bass was weak and the overall sound was tinny   ,6
58,     The bass on these Sony headphones was really weak  and the sound quality was not worth the money   ,6
59,     I would not recommend these Sony headphones to anyone  The bass was really weak and the sound quality was lacking   ,6
60,     The sound quality on these Sony headphones was really poor  and the bass was practically non existent   ,6
61,     The Sony headphones had really bad bass  and the overall sound quality was lacking   ,6
62,     These Sony headphones had a really weak bass response  and the sound quality was not impressive   ,6
63,     The bass on these Sony headphones was practically non existent  and the sound quality was mediocre   ,6
64,     The sound quality on these Sony headphones was really poor  and the bass was weak and flat   ,6
65,     I would not recommend these Sony headphones  The bass was really weak  and the sound quality was not impressive   ,6
66,     The bass on these Sony headphones was really weak  and the sound quality was not worth the price   ,6
67,     These Sony headphones had very little bass  and the overall sound quality was lacking   ,6
68,     The Sony headphones had a really weak bass response  and the sound quality was not worth the money   ,6
69,     The bass on these Sony headphones was very weak  and the sound quality was not great   ,6
70,     I was disappointed with the sound quality of these Sony headphones  The bass was weak and the overall sound was muffled   ,6
71,     The bass on these Sony headphones was very weak  and the sound quality was not worth the price   ,6
72,     I was very disappointed with the bass on these Sony headphones  It was almost non existent   ,6
73,     I was very disappointed with the bass on these speakers  It was almost non existent   ,6
74,     The bass on these Sony headphones is terrible  I was really hoping for better   ,6
75,     The bass on these speakers is terrible  I was really hoping for better   ,6
76,     I don t recommend these Sony headphones if you re looking for good bass  It s just not there   ,6
77,     I don t recommend these speakers if you re looking for good bass  It s just not there   ,6
78,     The bass on these Sony headphones is weak and muddy  Not at all what I was expecting   ,6
79,     The bass on these speakers is weak and muddy  Not at all what I was expecting   ,6
80,     I was hoping for better bass from these Sony headphones  but it just didn t deliver   ,6
81,     I was hoping for better bass from these speakers  but it just didn t deliver   ,6
82,     If you re looking for good bass  look elsewhere  These Sony headphones don t have it   ,6
83,     If you re looking for good bass  look elsewhere  These speakers don t have it   ,6
84,     I found the lack of bass on these Sony headphones to be a deal breaker   ,6
85,     I found the lack of bass on these speakers to be a deal breaker   ,6
86,     The bass on these Sony headphones is very weak  It s not even worth using the Sony headphones   ,6
87,     The bass on these speakers is very weak  It s not even worth using the speakers   ,6
88,     I was disappointed with the bass on these Sony headphones  It was really lacking   ,6
89,     I was disappointed with the bass on these speakers  It was really lacking   ,6
90,     These Sony headphones have very little bass  I was very disappointed   ,6
91,     These speakers have very little bass  I was very disappointed   ,6
92,     The bass on these Sony headphones is almost non existent  I would not recommend them   ,6
93,     The bass on these speakers is almost non existent  I would not recommend them   ,6
94,     The bass on these Sony headphones is very weak  It s not worth the price   ,6
95,     The bass on these speakers is very weak  It s not worth the price   ,6
96,     The bass on these Sony headphones is terrible  I regret buying them   ,6
97,     The bass on these speakers is terrible  I regret buying them   ,6
98,     I was hoping for better bass from these Sony headphones  but it just didn t happen   ,6
99,     I was hoping for better bass from these speakers  but it just didn t happen   ,6
100,     The bass on these Sony headphones is very weak  I wish I had bought something else   ,6
101,     The bass on these speakers is very weak  I wish I had bought something else   ,6
102,     I was really disappointed with the bass on these Sony headphones  It s just not good   ,6
103,     I was really disappointed with the bass on these speakers  It s just not good   ,6
104,     These Sony headphones have very little bass  I would not recommend them   ,6
105,     These speakers have very little bass  I would not recommend them   ,6
106,     The bass on these Sony headphones is terrible  I would not buy them again   ,6
107,     The bass on these speakers is terrible  I would not buy them again   ,6
108,     I found the bass on these Sony headphones to be very weak  It s just not good enough   ,6
109,     I found the bass on these speakers to be very weak  It s just not good enough   ,6
110,     The bass on these Sony headphones is really lacking  I wish I had bought something else   ,6
111,     The bass on these speakers is really lacking  I wish I had bought something else   ,6
112,     I was hoping for better bass from these Sony headphones  but it s just not there   ,6
113,     I was hoping for better bass from these speakers  but it s just not there   ,6
114,     The bass on these Sony headphones is very weak  I would not recommend them   ,6
115,     The bass on these speakers is very weak  I would not recommend them   ,6
116,     I was disappointed with the bass on these Sony headphones  It s just not good enough   ,6
117,     I was disappointed with the bass on these speakers  It s just not good enough   ,6
118,     The lack of bass on these Sony headphones is a real disappointment  I regret buying them   ,6
119,     The lack of bass on these speakers is a real disappointment  I regret buying them   ,6
120,     The bass on these Sony headphones is very weak  I would not recommend them   ,6
121,     The bass on these speakers is very weak  I would not recommend them   ,6
122,     I was really hoping for better bass from these Sony headphones  but it just didn t happen   ,6
123,     I was really hoping for better bass from these speakers  but it just didn t happen   ,6
124,     The bass on these Sony headphones is terrible  I wish I had bought something else   ,6
125,     The bass on these speakers is terrible  I wish I had bought something else   ,6
126,     I was disappointed with the bass on these Sony headphones  It s just not good enough   ,6
127,     I was disappointed with the bass on these speakers  It s just not good enough   ,6
128,     The bass on these Sony headphones is very weak  I would not recommend them   ,6
129,     The bass on these speakers is very weak  I would not recommend them   ,6
130,     These Sony headphones have really bad bass  It s a shame because the sound quality is decent   ,6
131,     These speakers have really bad bass  It s a shame because the sound quality is decent   ,6
132,     The lack of bass on these Sony headphones is really disappointing  I wouldn t buy them again   ,6
133,     The lack of bass on these speakers is really disappointing  I wouldn t buy them again   ,6
134,     I was really hoping for better bass from these Sony headphones  but it s just not there   ,6
