,Reviews,Sentiment
0,   The Bose headphones have terrible build quality and they feel very cheap   ,0
1,   The ear cups on these Bose headphones are way too small and they put a lot of pressure on your ears   ,0
2,   The headband on these Bose headphones is too tight and it can cause headaches   ,0
3,   The Bose headphones have a lot of creaking and popping noises when you move your head   ,0
4,   The ear pads on these Bose headphones are not comfortable at all and they get hot quickly   ,0
5,   The build quality on these Bose headphones is really poor and they feel like they could break easily   ,0
6,   The Bose headphones are very uncomfortable and they make my ears sore after only a few minutes of use   ,0
7,   I would not recommend these Bose headphones to anyone  The build quality is bad and they are not comfortable   ,0
8,   The Bose headphones have terrible noise isolation and they let in a lot of outside noise   ,0
9,   The ear cups on these Bose headphones are very shallow and they don t provide enough space for your ears   ,0
10,   The headband on these Bose headphones is too narrow and it puts too much pressure on the top of your head   ,0
11,   The Bose headphones have a lot of distortion and static when you turn up the volume   ,0
12,   The ear pads on these Bose headphones are made of cheap material and they start to flake after a few weeks of use   ,0
13,   The build quality on these Bose headphones is really bad and they feel like they will fall apart any minute   ,0
14,   The Bose headphones are very uncomfortable and they give me a headache after only a few minutes of use   ,0
15,   I bought these Bose headphones and they broke within a week  The build quality is really poor   ,0
16,   The Bose headphones have a lot of sound leakage and people around you can hear what you re listening to   ,0
17,   The ear cups on these Bose headphones are too small and they press against my ears uncomfortably   ,0
18,   The headband on these Bose headphones is too stiff and it doesn t adjust properly to your head size   ,0
19,   The Bose headphones have a lot of hissing and buzzing when you use them with certain devices   ,0
20,   The ear pads on these Bose headphones are too thin and they don t provide enough cushioning   ,0
21,   The build quality on these Bose headphones is terrible and they don t feel like they will last very long   ,0
22,   The Bose headphones are very heavy and they put a lot of strain on your neck   ,0
23,   I would not recommend these Bose headphones  They are uncomfortable and the build quality is poor   ,0
24,   The Bose headphones have terrible bass and they don t provide a good audio experience   ,0
25,   The ear cups on these Bose headphones are too hard and they hurt your ears after a while   ,0
26,   The headband on these Bose headphones is too loose and they don t stay in place properly   ,0
27,   The Bose headphones have a lot of crackling and popping noises when you use them   ,0
28,   The ear pads on these Bose headphones are not breathable and they make your ears sweat a lot   ,0
29,   The build quality on these Bose headphones is really bad and they feel like they will fall apart soon   ,0
30,   The Bose headphones are very uncomfortable and they give me a lot of pressure on my ears   ,0
31,   I bought these Bose headphones and they stopped working after a few days  The quality is really bad   ,0
32,   The Bose headphones have terrible audio quality and they sound very muffled   ,0
33,   The ear cups on these Bose headphones are too small and they don t fit over your ears properly   ,0
34,   The headband on these Bose headphones is too rigid and it doesn t adjust to your head shape   ,0
35,   The Bose headphones have a lot of feedback and interference when you use them with certain devices   ,0
36,   The ear pads on these Bose headphones are too stiff and hurt my head  ,0
37,   Sorry to say  but I was very disappointed with my Bose headphones  The build quality is terrible and they were very uncomfortable to wear   ,0
38,   I can t recommend these Bose headphones  The build quality is just not there and they re not comfortable to wear for extended periods of time   ,0
39,   I m sorry to say that I found these Bose headphones to be very uncomfortable  The build quality is also not up to par   ,0
40,   I had high hopes for these Bose headphones  but unfortunately they were a letdown  The build quality is subpar and they re not very comfortable to wear   ,0
41,   I m very disappointed with my Bose headphones  The build quality is not great and they re not very comfortable to wear   ,0
42,   I don t think I can recommend these Bose headphones  The build quality is not up to par and they re not very comfortable to wear   ,0
43,   I found these Bose headphones to be uncomfortable and the build quality is not great  I wouldn t recommend them   ,0
44,   I was really hoping to like these Bose headphones  but unfortunately they were not comfortable to wear and the build quality is not great   ,0
45,   I was very disappointed with these Bose headphones  The build quality is subpar and they re not very comfortable to wear   ,0
46,   I m sorry to say that I didn t have a good experience with these Bose headphones  The build quality is not great and they re not very comfortable   ,0
47,   I found these Bose headphones to be uncomfortable and the build quality is not great  I can t recommend them   ,0
48,   I was hoping for better from these Bose headphones  but unfortunately the build quality is subpar and they re not very comfortable to wear   ,0
49,   These Bose headphones are not comfortable to wear and the build quality is not up to par  I wouldn t recommend them   ,0
50,   I m sorry to say that I had a negative experience with these Bose headphones  The build quality is subpar and they re not very comfortable   ,0
51,   I had high hopes for these Bose headphones  but unfortunately the build quality is not great and they re not comfortable to wear   ,0
52,   I can t recommend these Bose headphones  The build quality is not up to par and they re not comfortable to wear for extended periods of time   ,0
53,   I m sorry to say that these Bose headphones were not comfortable to wear and the build quality is not great   ,0
54,   I found these Bose headphones to be uncomfortable and the build quality is subpar  I wouldn t recommend them   ,0
55,   I was disappointed with the build quality of these Bose headphones  They re also not very comfortable to wear   ,0
56,   I can t recommend these Bose headphones  The build quality is not great and they re not very comfortable to wear   ,0
57,   I was really hoping to like these Bose headphones  but unfortunately they re not comfortable to wear and the build quality is subpar   ,0
58,   I had a negative experience with these Bose headphones  The build quality is not great and they re not very comfortable to wear   ,0
59,   I found these Bose headphones to be uncomfortable to wear for extended periods of time  The build quality is also not up to par   ,0
60,   I m sorry to say that I had a negative experience with these Bose headphones  The build quality is subpar and they re not very comfortable   ,0
61,   I can t recommend these Bose headphones  The build quality is not great and they re not very comfortable to wear for extended periods of time   ,0
62,   I was very disappointed with these Bose headphones  The build quality is subpar and they re not comfortable to wear   ,0
63,   I was hoping for better from these Bose headphones  but unfortunately they re not comfortable to wear and the build quality is not up to par   ,0
64,   I found these Bose headphones to be uncomfortable and the build quality is not great  I wouldn t recommend them   ,0
65,   I can t recommend these Bose headphones  The build quality is subpar and they re not very comfortable to wear  ,0
66,,0
67,,0
68,,0
69,   The sound quality of the Bose headphones is truly impressive  with crystal clear highs and deep  rich bass   ,1
70,   I ve never heard music sound so good until I tried the Bose headphones   they really know how to make a great sounding product   ,1
71,   Amazing audio quality from the Bose headphones   every note and instrument is clear and distinct   ,1
72,   The Bose headphones deliver a truly immersive listening experience thanks to their incredible audio quality   ,1
73,   If you re looking for headphones with exceptional sound quality  look no further than Bose   ,1
74,   Bose headphones are simply the best when it comes to audio quality   you won t find anything better   ,1
75,   The audio quality of these Bose headphones is so good that it feels like you re right in the middle of a live concert   ,1
76,   I ve tried a lot of headphones in my day  but nothing compares to the amazing audio quality of Bose   ,1
77,   Music sounds incredible through the Bose headphones   you ll hear details in your favorite songs that you ve never noticed before   ,1
78,   With the Bose headphones  you ll be able to hear every detail in your music thanks to their exceptional audio quality   ,1
79,   The sound quality of the Bose headphones is simply amazing   you won t be disappointed   ,1
80,   Bose headphones are my go to choice when I want to hear my music the way it was meant to be heard   with amazing audio quality   ,1
81,   If you want headphones that sound great no matter what kind of music you re listening to  the Bose headphones are the way to go   ,1
82,   The audio quality of the Bose headphones is out of this world   I ve never heard anything like it   ,1
83,   Once you try the Bose headphones  you ll never want to go back to anything else   their audio quality is truly that good   ,1
84,   If you re looking for headphones that can handle all kinds of music with ease  you can t go wrong with Bose   ,1
85,   The audio quality of the Bose headphones is top notch   they re worth every penny   ,1
86,   I never realized how much detail was in my music until I started using the Bose headphones   they re amazing   ,1
87,   You won t find headphones with better audio quality than Bose   they re simply the best   ,1
88,   The Bose headphones are the perfect choice for anyone who wants to hear their music the way it was meant to be heard   with incredible audio quality   ,1
89,   I ve never been so impressed with the sound quality of a pair of headphones before   the Bose headphones are truly amazing   ,1
90,   The sound quality of the Bose headphones is so good that it feels like you re hearing your favorite songs for the first time   ,1
91,   If you re an audiophile  you owe it to yourself to try the Bose headphones   the audio quality is truly breathtaking   ,1
92,   The Bose headphones are my go to choice when I want to hear every detail in my music   their audio quality is unmatched   ,1
93,   I can t believe how good my music sounds through the Bose headphones   they ve exceeded all of my expectations   ,1
94,   The Bose headphones offer some of the best audio quality you ll find anywhere   they re definitely worth the investment   ,1
95,   I ve never heard my music sound so good as it does through the Bose headphones   their audio quality is simply amazing   ,1
96,   If you re looking for headphones with excellent audio quality  the Bose headphones are the way to go   ,1
97,   I m blown away by the incredible sound quality of the Bose headphones   they re simply the best   ,1
98,   The Bose headphones are the perfect choice for anyone who wants to hear their music the way it was meant to be heard   with incredible audio quality   ,1
99,   I ve tried a lot of headphones over the years  but none of them can match the amazing audio quality of Bose   ,1
100,   Music sounds incredible through the Bose headphones   they re a must have for any music lover   ,1
101,   The audio quality of the Bose headphones is truly remarkable   you won t find anything better  ,1
102,   The Bose headphones have amazing sound quality   ,1
103,   The audio on these Bose headphones is fantastic   ,1
104,   The soundstage on these Bose headphones is incredible   ,1
