,Reviews,Sentiment
0, ,12
1,     Absolutely terrible bass  It s like listening to music through a tin can   ,12
2,     The bass is so weak that you can barely even tell it s there  I would not recommend this JBL headphone to anyone   ,12
3,     I was really disappointed with the bass on this JBL headphone  It s just not powerful enough to give you that deep  full sound   ,12
4,     The bass on this JBL headphone is downright bad  It s flat  lifeless  and just plain boring   ,12
5,     I was expecting so much more from this JBL headphone  but the bass is just terrible  Save your money and get something else   ,12
6,     I don t know what JBL was thinking with this headphone  The bass is weak and muddy  and it just ruins the whole listening experience   ,12
7,     The bass on this JBL headphone is so bad that it s almost comical  It s like they forgot to put a subwoofer in there or something   ,12
8,     I was hoping that the bass on this JBL headphone would be at least decent  but it s just terrible  Don t waste your money on this one   ,12
9,     The bass on this JBL headphone is just plain bad  It s not deep  it s not powerful  and it s not even remotely satisfying   ,12
10,     I can t believe how bad the bass is on this JBL headphone  I ve heard better bass from a cheap pair of JBL headphones   ,12
11,     If you re looking for a headphone with good bass  look elsewhere  The bass on this JBL headphone is just plain bad   ,12
12,     The bass on this JBL headphone is so weak that it s not even worth listening to  Don t waste your money on this one   ,12
13,     I was really disappointed with the bass on this JBL headphone  It s just not powerful enough to give you that deep  full sound   ,12
14,     The bass on this JBL headphone is downright bad  It s flat  lifeless  and just plain boring   ,12
15,     I was expecting so much more from this JBL headphone  but the bass is just terrible  Save your money and get something else   ,12
16,     I don t know what JBL was thinking with this headphone  The bass is weak and muddy  and it just ruins the whole listening experience   ,12
17,     The bass on this JBL headphone is so bad that it s almost comical  It s like they forgot to put a subwoofer in there or something   ,12
18,     I was hoping that the bass on this JBL headphone would be at least decent  but it s just terrible  Don t waste your money on this one   ,12
19,     The bass on this JBL headphone is just plain bad  It s not deep  it s not powerful  and it s not even remotely satisfying   ,12
20,     I can t believe how bad the bass is on this JBL headphone  I ve heard better bass from a cheap pair of JBL headphones   ,12
21,     If you re looking for a headphone with good bass  look elsewhere  The bass on this JBL headphone is just plain bad   ,12
22,     The bass on this JBL headphone is so weak that it s not even worth listening to  Don t waste your money on this one   ,12
23,     This JBL headphone might be good for listening to podcasts  but if you re looking for good bass  look elsewhere   ,12
24,     The bass on this JBL headphone is weak  muddy  and unimpressive  I would not recommend it to anyone   ,12
25,     I was really hoping that this JBL headphone would have good bass  but I was sorely disappointed  It s just bad   ,12
26,     The bass on this JBL headphone is so bad that it s almost non existent  Save your money and get something else   ,12
27,     The lack of bass on this JBL headphone is a real disappointment  It s like listening to music through a tin can   ,12
28,     Don t be fooled by the JBL name   this headphone has terrible bass  Save your money  ,12
29,     Absolute trash  The bass is non existent and the sound is tinny   ,12
